canonical_id,sample_filename,airnet_psnr,bicubic_psnr,psnr_difference,airnet_ssim,bicubic_ssim,ssim_difference,hf_retention_ratio,airnet_gradient_energy,gt_gradient_energy,airnet_laplacian_energy,gt_laplacian_energy,detail_loss_classification,airnet_mae_residual
112,001282.npy,11.005,20.8398,-9.8347,0.0058,0.4511,-0.4453,0.019963,0.00120737,0.27574432,0.00281437,0.09856986,Severe Detail Loss,0.258248
113,001291.npy,13.5724,22.7314,-9.159,0.0222,0.7359,-0.7137,0.015585,0.00117725,0.45612842,0.00185673,0.05213957,Severe Detail Loss,0.159446
114,001294.npy,15.614,28.5515,-12.9375,0.0485,0.71,-0.6615,0.078641,0.00111779,0.10837162,0.00161132,0.00922534,Severe Detail Loss,0.130035
115,001297.npy,4.3826,21.6588,-17.2762,0.0183,0.2973,-0.279,0.415899,0.00086067,0.14645803,0.01004961,0.0082283,Severe Detail Loss,0.582795
116,001300.npy,5.9882,22.25,-16.2618,0.0261,0.3079,-0.2818,0.474455,0.00091694,0.09569255,0.00724632,0.00509427,Severe Detail Loss,0.469452
117,001306.npy,2.4419,19.0668,-16.6249,0.0052,0.4001,-0.3948,0.110819,0.00088312,0.53235626,0.01463361,0.04561079,Severe Detail Loss,0.737766
118,001327.npy,10.1323,22.6003,-12.468,0.0337,0.7224,-0.6887,0.027776,0.00107133,0.44833723,0.00294641,0.0441043,Severe Detail Loss,0.231885
119,001354.npy,6.08,22.2067,-16.1267,0.0171,0.3541,-0.337,0.271307,0.00090084,0.10955185,0.00705517,0.01192317,Severe Detail Loss,0.460843
120,001363.npy,5.8907,21.1802,-15.2895,0.0063,0.3411,-0.3348,0.071885,0.00090718,0.20649436,0.00738982,0.06556065,Severe Detail Loss,0.477084
121,001367.npy,5.9912,21.5907,-15.5995,0.0183,0.3528,-0.3345,0.078338,0.00091666,0.2674422,0.00720427,0.04517135,Severe Detail Loss,0.485267
