sample_id,sample_filename,Edge MAE AIR-Net,Edge MAE Bicubic
237,002391.npy,0.26181,0.431422
238,002393.npy,0.669067,0.395578
239,002432.npy,0.123741,0.491141
240,002433.npy,0.21394,0.163079
241,002435.npy,0.248898,0.233825
242,002449.npy,0.112237,0.152357
243,002450.npy,0.111734,0.160093
244,002454.npy,0.357771,0.280802
245,002489.npy,0.15497,0.414258
246,002511.npy,0.395537,0.450505
247,002520.npy,0.203917,0.171792
248,002532.npy,0.279371,0.239688
249,002556.npy,0.242415,0.157342
250,002557.npy,0.306522,0.200642
251,002558.npy,0.308918,0.16527
252,002568.npy,0.227669,0.202849
253,002572.npy,0.159317,0.223946
254,002598.npy,0.410444,0.204555
255,002604.npy,0.177296,0.367437
256,002612.npy,0.170186,0.410273
257,002613.npy,0.147473,0.404267
258,002625.npy,0.266228,0.415719
259,002640.npy,0.419591,0.346684
260,002660.npy,0.232951,0.382107
261,002675.npy,0.293835,0.307388
262,002680.npy,0.265916,0.158695
263,002690.npy,0.302765,0.325875
264,002693.npy,0.085262,0.472014
265,002695.npy,0.358269,0.266517
266,002729.npy,0.094971,0.51715
267,002731.npy,0.120421,0.444128
268,002734.npy,0.240808,0.462295
269,002747.npy,0.155069,0.179717
270,002767.npy,0.079121,0.262742
271,002773.npy,0.280478,0.210115
272,002777.npy,0.392495,0.233199
273,002790.npy,0.414359,0.270561
274,002796.npy,0.226677,0.461541
275,002799.npy,0.170666,0.274336
276,002811.npy,0.147743,0.104626
277,002814.npy,0.275816,0.263794
278,002824.npy,0.366624,0.32677
279,002842.npy,0.157365,0.439419
280,002848.npy,0.155108,0.254597
281,002853.npy,0.595762,0.259311
282,002863.npy,0.413172,0.251037
283,002869.npy,0.09366,0.286137
284,002879.npy,0.233921,0.179095
285,002888.npy,0.23089,0.376582
286,002896.npy,0.208258,0.302968
287,002904.npy,0.209788,0.226195
288,002911.npy,0.152764,0.12432
289,002919.npy,0.263237,0.35876
290,002931.npy,0.460896,0.301794
291,002939.npy,0.264127,0.273124
292,002945.npy,0.476199,0.240097
293,002959.npy,0.264401,0.209382
294,002977.npy,0.187154,0.103599
295,003003.npy,0.083123,0.273945
296,003005.npy,0.402898,0.187957
297,003016.npy,0.60059,0.355606
298,003019.npy,0.192802,0.266737
299,003033.npy,0.380186,0.334801
300,003045.npy,0.149974,0.332113
301,003056.npy,0.334998,0.276898
302,003065.npy,0.240045,0.18693
303,003072.npy,0.243466,0.197857
304,003073.npy,0.079996,0.207248
305,003080.npy,0.225023,0.2874
306,003090.npy,0.280965,0.212616
307,003092.npy,0.188525,0.365949
308,003105.npy,0.103084,0.095031
309,003107.npy,0.098591,0.081476
310,003110.npy,0.210654,0.398526
311,003113.npy,0.367671,0.211767
312,003116.npy,0.103573,0.471194
313,003120.npy,0.070527,0.128518
314,003129.npy,0.169315,0.418919
315,003138.npy,0.402608,0.216453
316,003160.npy,0.245675,0.346905
317,003171.npy,0.170259,0.125915
318,003174.npy,0.168829,0.301787
319,003185.npy,0.433304,0.173076
