canonical_id,sample_filename,AIR-Net PSNR,Bicubic PSNR,PSNR Difference,AIR-Net SSIM,Bicubic SSIM,SSIM Difference,Detail Loss Classification,AIR-Net PSNR Win,Bicubic PSNR Win,AIR-Net SSIM Win
158,001648.npy,5.402,21.3266,-15.9246,0.0229,0.6404,-0.6175,Severe Detail Loss,False,True,False
159,001661.npy,4.0411,22.4299,-18.3888,0.0172,0.5577,-0.5405,Severe Detail Loss,False,True,False
160,001663.npy,4.0252,20.737,-16.7118,0.0174,0.4896,-0.4722,Severe Detail Loss,False,True,False
161,001678.npy,11.0835,25.6992,-14.6157,0.029,0.5899,-0.5609,Severe Detail Loss,False,True,False
162,001682.npy,7.5712,24.4202,-16.8491,0.0202,0.7076,-0.6874,Severe Detail Loss,False,True,False
163,001685.npy,2.8222,20.3371,-17.5149,0.0202,0.2994,-0.2792,Severe Detail Loss,False,True,False
164,001695.npy,7.6998,23.1439,-15.4442,0.0323,0.6959,-0.6636,Severe Detail Loss,False,True,False
165,001696.npy,7.7993,24.0144,-16.215,0.0805,0.7779,-0.6974,Severe Detail Loss,False,True,False
166,001698.npy,14.5278,27.5099,-12.9821,0.0283,0.5649,-0.5367,Severe Detail Loss,False,True,False
167,001704.npy,5.2674,22.5967,-17.3293,0.0206,0.4683,-0.4477,Severe Detail Loss,False,True,False
168,001707.npy,5.5494,23.0564,-17.507,0.0253,0.3342,-0.3089,Severe Detail Loss,False,True,False
169,001722.npy,7.5184,23.8638,-16.3454,0.0118,0.6796,-0.6678,Severe Detail Loss,False,True,False
170,001733.npy,10.5328,26.4194,-15.8866,0.063,0.6625,-0.5995,Severe Detail Loss,False,True,False
171,001734.npy,13.0739,28.4797,-15.4058,0.0609,0.7052,-0.6442,Severe Detail Loss,False,True,False
172,001751.npy,3.6547,21.4383,-17.7836,0.011,0.3956,-0.3847,Severe Detail Loss,False,True,False
173,001757.npy,8.5987,25.8623,-17.2635,0.0306,0.5473,-0.5167,Severe Detail Loss,False,True,False
174,001759.npy,8.0585,25.0746,-17.0161,0.0298,0.496,-0.4662,Severe Detail Loss,False,True,False
175,001768.npy,2.6807,20.3594,-17.6786,0.019,0.1826,-0.1636,Severe Detail Loss,False,True,False
176,001787.npy,3.4899,21.8137,-18.3238,0.0123,0.567,-0.5547,Severe Detail Loss,False,True,False
177,001794.npy,2.7575,18.2281,-15.4706,0.0093,0.322,-0.3127,Severe Detail Loss,False,True,False
178,001796.npy,15.2484,30.4386,-15.1901,0.0369,0.8225,-0.7857,Severe Detail Loss,False,True,False
179,001802.npy,8.6927,25.7187,-17.026,0.0432,0.5291,-0.4859,Severe Detail Loss,False,True,False
180,001806.npy,5.9211,21.5685,-15.6475,0.0128,0.5484,-0.5356,Severe Detail Loss,False,True,False
181,001819.npy,8.4875,25.5461,-17.0586,0.1834,0.6559,-0.4725,Severe Detail Loss,False,True,False
182,001843.npy,9.3227,24.9578,-15.6351,0.0317,0.6326,-0.6009,Severe Detail Loss,False,True,False
183,001853.npy,5.0647,23.0558,-17.991,0.0164,0.4534,-0.437,Severe Detail Loss,False,True,False
184,001863.npy,5.5168,22.1845,-16.6677,0.0202,0.2992,-0.279,Severe Detail Loss,False,True,False
185,001881.npy,4.1762,21.4165,-17.2403,0.0081,0.5492,-0.541,Severe Detail Loss,False,True,False
186,001884.npy,1.3623,19.4431,-18.0808,0.0189,0.1063,-0.0873,Severe Detail Loss,False,True,False
187,001895.npy,6.0778,22.2807,-16.2029,0.0181,0.4666,-0.4485,Severe Detail Loss,False,True,False
188,001899.npy,5.3917,20.89,-15.4983,0.0112,0.2343,-0.223,Severe Detail Loss,False,True,False
189,001919.npy,9.353,24.6217,-15.2687,0.0172,0.7354,-0.7182,Severe Detail Loss,False,True,False
190,001923.npy,3.8667,21.4922,-17.6255,0.0147,0.5686,-0.5539,Severe Detail Loss,False,True,False
191,001930.npy,8.5586,22.3037,-13.7451,0.0077,0.6251,-0.6173,Severe Detail Loss,False,True,False
192,001955.npy,18.6012,31.7727,-13.1715,0.159,0.9087,-0.7496,Severe Detail Loss,False,True,False
193,001959.npy,6.4011,23.8886,-17.4875,0.0181,0.3701,-0.352,Severe Detail Loss,False,True,False
194,001969.npy,3.4716,21.8897,-18.4181,0.0134,0.288,-0.2746,Severe Detail Loss,False,True,False
195,001981.npy,3.4376,20.3532,-16.9156,0.0105,0.5699,-0.5594,Severe Detail Loss,False,True,False
196,001986.npy,3.8502,21.9263,-18.0761,0.0184,0.2779,-0.2595,Severe Detail Loss,False,True,False
197,001998.npy,10.1282,26.9144,-16.7862,0.0251,0.6723,-0.6472,Severe Detail Loss,False,True,False
198,002027.npy,4.9614,20.4907,-15.5293,0.0153,0.3196,-0.3042,Severe Detail Loss,False,True,False
199,002038.npy,4.3478,19.6674,-15.3196,0.0099,0.2328,-0.2229,Severe Detail Loss,False,True,False
200,002041.npy,2.3005,16.2389,-13.9384,0.0018,0.4845,-0.4826,Severe Detail Loss,False,True,False
201,002047.npy,5.3561,19.6314,-14.2753,0.0173,0.3251,-0.3077,Severe Detail Loss,False,True,False
202,002049.npy,15.0188,29.6005,-14.5817,0.0471,0.7467,-0.6996,Severe Detail Loss,False,True,False
203,002056.npy,10.9401,26.9115,-15.9714,0.1773,0.8075,-0.6302,Severe Detail Loss,False,True,False
204,002061.npy,5.6286,22.0774,-16.4488,0.0156,0.3661,-0.3506,Severe Detail Loss,False,True,False
205,002062.npy,5.7103,21.4899,-15.7796,0.0149,0.3542,-0.3393,Severe Detail Loss,False,True,False
206,002068.npy,7.009,22.4829,-15.4739,0.0436,0.5949,-0.5513,Severe Detail Loss,False,True,False
207,002088.npy,7.6234,22.9237,-15.3003,0.0121,0.6299,-0.6177,Severe Detail Loss,False,True,False
208,002101.npy,4.8455,21.3377,-16.4922,0.0255,0.4783,-0.4527,Severe Detail Loss,False,True,False
209,002135.npy,7.1895,21.3906,-14.2011,0.0051,0.6366,-0.6315,Severe Detail Loss,False,True,False
210,002139.npy,5.3881,22.4303,-17.0422,0.0619,0.6271,-0.5652,Severe Detail Loss,False,True,False
211,002146.npy,6.0868,21.4829,-15.3962,0.0047,0.6019,-0.5972,Severe Detail Loss,False,True,False
212,002160.npy,6.7313,21.9577,-15.2264,0.0155,0.4008,-0.3853,Severe Detail Loss,False,True,False
213,002169.npy,3.288,21.5589,-18.2709,0.0176,0.5318,-0.5142,Severe Detail Loss,False,True,False
214,002182.npy,3.7794,21.6862,-17.9068,0.0117,0.4875,-0.4758,Severe Detail Loss,False,True,False
215,002191.npy,2.8948,20.6613,-17.7665,0.0137,0.378,-0.3643,Severe Detail Loss,False,True,False
216,002198.npy,14.3474,28.8846,-14.5372,0.0591,0.7608,-0.7017,Severe Detail Loss,False,True,False
217,002199.npy,16.7082,31.3176,-14.6094,0.0948,0.8372,-0.7425,Severe Detail Loss,False,True,False
218,002200.npy,4.4854,19.6827,-15.1972,0.0136,0.3528,-0.3392,Severe Detail Loss,False,True,False
219,002214.npy,17.4558,32.2015,-14.7456,0.0506,0.8078,-0.7571,Severe Detail Loss,False,True,False
220,002235.npy,1.5832,19.7529,-18.1697,0.013,0.2613,-0.2484,Severe Detail Loss,False,True,False
221,002237.npy,6.8746,21.7947,-14.9201,0.0657,0.6686,-0.6028,Severe Detail Loss,False,True,False
222,002253.npy,3.3525,20.9376,-17.5851,0.0087,0.401,-0.3922,Severe Detail Loss,False,True,False
223,002255.npy,3.308,19.9662,-16.6581,0.0089,0.3628,-0.354,Severe Detail Loss,False,True,False
224,002264.npy,2.109,18.4445,-16.3355,0.0081,0.5332,-0.5251,Severe Detail Loss,False,True,False
225,002267.npy,11.9778,24.7737,-12.7959,0.0471,0.8288,-0.7817,Severe Detail Loss,False,True,False
226,002278.npy,4.7498,22.1283,-17.3785,0.0136,0.2774,-0.2638,Severe Detail Loss,False,True,False
227,002294.npy,9.4355,23.2881,-13.8525,0.0219,0.7115,-0.6896,Severe Detail Loss,False,True,False
228,002300.npy,3.7676,21.6241,-17.8565,0.0078,0.4795,-0.4717,Severe Detail Loss,False,True,False
229,002301.npy,7.186,23.4659,-16.2799,0.0288,0.3739,-0.3451,Severe Detail Loss,False,True,False
230,002317.npy,2.5484,17.2164,-14.668,0.0022,0.5492,-0.5471,Severe Detail Loss,False,True,False
231,002324.npy,3.5655,22.487,-18.9215,0.0242,0.3919,-0.3677,Severe Detail Loss,False,True,False
232,002327.npy,2.7481,21.4291,-18.681,0.0159,0.306,-0.29,Severe Detail Loss,False,True,False
233,002336.npy,3.6297,19.6435,-16.0138,0.0169,0.4805,-0.4636,Severe Detail Loss,False,True,False
234,002343.npy,4.5864,22.7346,-18.1482,0.0157,0.3832,-0.3674,Severe Detail Loss,False,True,False
235,002363.npy,7.2701,22.4391,-15.169,0.0207,0.695,-0.6743,Severe Detail Loss,False,True,False
236,002385.npy,3.6652,18.2893,-14.624,0.0064,0.2545,-0.2481,Severe Detail Loss,False,True,False
237,002391.npy,2.0281,19.4142,-17.3861,0.0111,0.2618,-0.2507,Severe Detail Loss,False,True,False
238,002393.npy,5.366,18.9204,-13.5543,0.0063,0.6038,-0.5975,Severe Detail Loss,False,True,False
239,002432.npy,1.4739,20.0433,-18.5695,0.018,0.1912,-0.1732,Severe Detail Loss,False,True,False
240,002433.npy,9.8597,25.2706,-15.4109,0.0253,0.6447,-0.6194,Severe Detail Loss,False,True,False
241,002435.npy,8.5608,22.8159,-14.2551,0.0204,0.5374,-0.517,Severe Detail Loss,False,True,False
242,002449.npy,10.5415,27.0226,-16.4811,0.0378,0.6081,-0.5703,Severe Detail Loss,False,True,False
243,002450.npy,10.6314,26.6873,-16.0559,0.0383,0.5956,-0.5573,Severe Detail Loss,False,True,False
244,002454.npy,5.9562,22.0011,-16.0449,0.0084,0.6192,-0.6108,Severe Detail Loss,False,True,False
245,002489.npy,3.646,20.3227,-16.6767,0.0153,0.2037,-0.1884,Severe Detail Loss,False,True,False
246,002511.npy,2.3627,18.0181,-15.6555,0.0076,0.2783,-0.2707,Severe Detail Loss,False,True,False
247,002520.npy,11.0689,25.0626,-13.9937,0.0481,0.6486,-0.6006,Severe Detail Loss,False,True,False
248,002532.npy,7.6209,22.7165,-15.0955,0.0188,0.5879,-0.569,Severe Detail Loss,False,True,False
249,002556.npy,9.0124,26.2903,-17.2779,0.0192,0.723,-0.7038,Severe Detail Loss,False,True,False
250,002557.npy,10.0749,24.2329,-14.158,0.0187,0.6665,-0.6478,Severe Detail Loss,False,True,False
251,002558.npy,10.0885,25.7576,-15.6691,0.0184,0.7305,-0.7121,Severe Detail Loss,False,True,False
252,002568.npy,7.3412,24.7869,-17.4457,0.0187,0.5901,-0.5714,Severe Detail Loss,False,True,False
253,002572.npy,4.6389,23.8598,-19.2209,0.0657,0.5812,-0.5156,Severe Detail Loss,False,True,False
